"Screen / component","What works well (observed scope)","Problem / uncertainty","Affected task and consequence","Recommended change","Testable acceptance criteria","Evidence / issue IDs"
"Landing","Clear hero actions; visible course prices; FAQ and free entry; desktop/mobile layout fits.","Past cohort urgency, conflicting counts and stage thresholds.","Applicants may believe registration is closed or expect rewards at the wrong thresholds.","Read campaign, catalogue and gem metadata from shared services.","Displayed dates/counts/stage boundaries equal current product data and expired campaigns disappear.","landing-desktop/mobile.png; D-15"
"SEO catalogue and course pages","39 emitted course-detail links resolve; cards communicate category, duration and price.","Page resolution does not establish lesson completeness; long list and stale 31-course link.","Discovery takes excess effort and content freshness is unclear.","Keep common offer metadata and add clear search/filter navigation back to results.","Every listed offer has matching detail/registration data; returning preserves search.","catalogue-desktop/mobile.png; course-link-checks.json; U-02,D-15"
"Live catalogue / filtering","No-match message and clearing search work; course cards include actual buttons.","Free filter persists when Live is selected; mobile list is very long.","Learner cannot find the paid offering after browsing free courses.","Unify mode/filter state; prioritize search and result count.","Free → Live → search → clear produces correct results and retains state on return.","live-nav-free-filter.png; D-13,U-02"
"Free language catalogue","Language-family buttons expose two-course ladders with clear free labels.","Shared header still describes old live cohort and shows paid bundle promotions.","Free learners must separate irrelevant enrollment information from their next action.","Give free catalogue its own concise introduction and learning-focused actions.","Free page clearly says self-paced/free and offers a next course without paid-enrollment ambiguity.","free-courses-desktop/mobile.png; U-04,D-15"
"Free curriculum","Price, access, duration and modules are visible; real module/continue buttons.","Dense outcome text; average/every-task/final-exam wording conflict.","Learners cannot reliably identify when they have completed the course.","Show concise outcomes and one canonical completion checklist.","Progress, certificate eligibility and copy agree for pass/fail boundary fixtures.","free-curriculum-desktop.png; D-18,U-04"
"Lesson video","Embedding and watched-marker code exist; lesson/title hierarchy is present.","Playback untested; watch status is browser/track local and not account synced.","Device/shared-browser changes may make watched state surprising.","Explain local-only markers or sync them per account; provide captions/transcript and fallback links.","Playback/captions and recovery are verified in a browser; watch status behaves as described across accounts/devices.","open.js:726-772,1091-1105; WF-38"
"Free task workspace","Brief, expected output, hint, Run, submit status and retry affordances present; web code runs at both widths.","Task switch/refresh loses draft; grading outage has no durable retry.","A learner can lose work and become stuck waiting for grade/certificate.","Autosave per task/account and introduce a persistent grading-status timeline.","Draft and prior result survive navigation, reload, login and provider failure; retry resolves the same task.","free-workspace-desktop/mobile.png; annotated-draft-loss-desktop.png; D-05,D-16"
"Standalone compiler","Signed-out gate and signed-in multi-file editor render; local project storage implementation exists.","Standalone Python/SQL/multi-file persistence not completed; external C/C++/Java execution blocked.","Full advertised language support remains unverified.","Provide visible runtime setup/loading/error/cancel states and account-scoped drafts.","Each supported language passes valid/invalid/stdin/timeout/retry cases; project files survive reload and do not leak across accounts.","standalone-compiler.png; compiler-signed-out-desktop.png; WF-89,WF-90"
"Login","Labels, password masking and invalid-credential feedback work; role-based landing exists.","Requested destination is discarded; secondary mobile links have small hit areas.","Users repeat navigation after sign-in.","Preserve a safe return URL and enlarge recovery/signup hit areas.","Sign-in from every protected entry returns there; touch and keyboard reach recovery easily.","login-desktop/mobile.png; D-04,U-08"
"Free email signup dialog","Explains account/course-registration choices; duplicate API signup is rejected.","Keyboard focus is outside the dialog; verification delivery unavailable in test environment.","Keyboard users can activate obscured page controls; onboarding completion cannot be certified.","Trap and restore focus; present verification status and recovery without losing form input.","Tab remains in dialog; code resend/expiry/wrong-code paths retain all valid fields.","annotated-signin-focus.png; U-01; WF-13,WF-14"
"Password recovery","Local reset validates length and consumes token once; invalid link screen is clear.","Old authenticated sessions remain valid; portal users require academy assistance.","Recovery cannot terminate an unwanted active session.","Revoke old sessions and explain the recovery route by account type.","Reset invalidates all pre-reset tokens; each supported account type has a usable next step.","invalid-reset-desktop/mobile.png; D-02; WF-16,WF-18"
"Student overview / empty account","Resume learning works; empty account has explicit no-course messages; real grade/quiz achievements appear.","Large recommendation area pushes support/rewards lower on mobile; summaries cut mid-word.","Returning learner spends effort locating the next task and new learners lack a direct enrollment checklist.","Prioritize next task, upcoming deadlines and a concise onboarding card; clamp summaries cleanly.","An enrolled and an empty learner each see a clear primary next action above secondary recommendations.","dashboard-student.png; dashboard-student-mobile.png; dashboard-empty.png; U-02,U-03"
"Profile / Settings / free profile","Nonempty profile save persists; free profile exposes password change; account menu groups settings.","Clearing optional fields silently fails; Settings route is lost on refresh.","Users cannot remove outdated information and may believe it was removed.","Support explicit clears and stable Settings route; return saved canonical values.","Blank optional values remain cleared after reload; Settings opens directly and survives refresh.","annotated-profile-clear.png; free-profile.png; D-03,D-04"
"Paid course / Resources","Enrolled course opens; paid submitted code and attached lesson persist.","Private file download skips enrollment check; task URL/draft not durable.","Unrelated users can retrieve a private attachment and students lose edits.","Authorize attachment access and persist task routes/drafts.","Nonmembers denied by both course and attachment APIs; task state restores after reload.","paid-course-mobile.png; paid-task-desktop.png; D-01,D-05"
"Assignments / task list","Quest-based assignment list and teacher remarks render when requests succeed.","Simulated 503 leaves Loading forever.","Student cannot see work or decide how to recover.","Use explicit error with Retry and preserve previously loaded data.","Timeout/503/offline cases replace loader and can recover with one retry.","annotated-loading-error.png; D-07"
"Teacher grading","Brief, student work, prior grade, lateness and remarks are together; learner receives stored grade/feedback.","AI review was unavailable; small header logo appears compressed in screenshot.","Teacher review is otherwise clear but brand treatment and integration feedback need refinement.","Preserve logo aspect ratio and show AI capability/status while keeping manual grade usable.","Manual grade remains usable when AI fails; logo retains natural proportions in both layouts.","grade-instructor.png; operations-checks.json; U-05"
