"Order","Priority","Issue ID","Type","Work item","Concrete change","Acceptance criteria","Owner","Evidence"
"1","P0","D-01","Confirmed defect","Private files can be downloaded by unrelated signed-in users","Replace the shared authenticated static-file mount with attachment ownership and purpose checks. Separate deliberately public assets from private submissions, contracts, resumes and onboarding documents.","An owner/assigned staff member can retrieve the attachment; unrelated free/student/recruiter accounts get 403/404 even with its exact URL; unauthenticated access stays denied.","Backend/security","evidence/api-checks.json — SEC-01-private-file; server.js:4219,4254"
"2","P1","D-02","Confirmed defect","Password reset leaves existing sessions valid","Version user sessions or maintain revocable server sessions. Rotate/invalidate old sessions on recovery and administrative password reset; give users a revoke-other-sessions action.","After recovery, cookies created before the reset return 401; the new session and password work; reused reset tokens fail.","Backend/security","evidence/api-checks.json — SEC-05-reset-session; server.js:249-253,468-479"
"3","P1","D-05","Confirmed defect","Unsubmitted code is lost on task switches and refresh","Autosave drafts per user/course/task/language, show save state, restore before rendering the editor, and warn when leaving work that has not been saved. Preserve the latest successful submission separately.","Desktop and 390px mobile drafts survive task switching, Back/Forward, refresh, session expiry and sign-in; another account never inherits them. An interrupted save has a visible recovery path.","Learning frontend","evidence/browser-workflows.json — DRAFT-SWITCH/REFRESH; evidence/final-browser-checks.json — PAID-DRAFT-REFRESH; evidence/annotated-draft-loss-desktop.png; public/js/open.js:1361; public/js/dashboard.js:4853"
"4","P1","D-06","Confirmed defect","A teacher can certify a student outside their course","Validate enrollment and the configured completion rule before course certification. Keep any exceptional administrative issuance as a separate permission with a recorded reason.","An instructor cannot issue a course certificate to a nonmember or ineligible learner. Valid graduates can be certified once, and verification reflects the recorded completion basis.","Backend + learning policy","evidence/operations-initial.json — CERT-NONMEMBER; evidence/final-browser-checks.json — CERT-VERIFY-UI; evidence/certificate-verification.png; server.js:2778-2806"
"5","P1","D-07","Confirmed defect","Several failed data requests leave permanent loading screens","Use a shared loading/error/empty/success state component. Catch render errors, retain existing content when possible, provide retry, and explain temporary feature unavailability in learner language.","A failed, aborted or timed-out request removes the loader, announces a useful error and exposes Retry; a successful retry restores the screen without a full reload.","Frontend","evidence/browser-workflows.json — ERROR-ASSIGNMENTS; evidence/browser-survey.json — view-student-talent-profile, view-student-hiring-interest; evidence/annotated-loading-error.png; public/js/dashboard.js:1327,2816,3133"
"6","P1","D-08","Confirmed defect","Challan is marked sent even when no email was sent","Track queued, provider-accepted and failed mail states. Advance the workflow only at the documented successful handoff; retain retry and a downloadable PDF. Repeated send attempts need deduplication.","Disabled SMTP, provider rejection and network failure cannot produce a Sent status. A test-provider acknowledgement advances the correct record exactly once.","Backend + admissions","evidence/operations-initial.json — ADMIT-SEND-FAILURE; server.js:3780-3797; mail-provider.js:77-80"
"7","P1","D-11","Confirmed defect","Teachers can award course gems to nonmembers","Require recipient enrollment in the authorized batch and record a reason and actor. Keep a separately authorized institute-wide award action if needed.","A teacher’s course award to a nonmember fails and changes no totals; valid awards are persisted and auditable.","Backend/permissions","evidence/api-checks.json — SEC-03-gems-nonmember; server.js:1590-1598"
"8","P1","D-12","Confirmed defect","Quiz request body can override the authorized batch","Whitelist quiz fields and set batch_id exclusively from req.batch after parsing the body. Review analogous route/body ID merges.","A conflicting body ID is rejected or ignored; every created quiz belongs to the URL batch that passed authorization; unauthorized batches are unchanged.","Backend/security","evidence/supplemental-checks.json — SEC-QUIZ-SCOPE; server.js:2554-2557"
"9","P1","D-16","Confirmed defect","Automatic grading failure has no durable recovery workflow","Persist a grading job with pending/failed/retrying status and a staff retry path. Keep the previous completed attempt/grade until the replacement is successfully graded.","Provider timeout/rejection can be retried without another upload; learners see a truthful status; successful recovery updates progress once; a failed retry does not erase an earned grade.","Backend/AI + learning UI","evidence/api-checks.json — LEARN-05-submit-persist; evidence/browser-workflows.json — SUBMIT-RETRY; server.js:4090-4132; store.js:3955-3964"
"10","P1","D-17","Confirmed defect","Advertised course bundle creates a zero-fee challan and cannot enroll","Model bundles as real offerings with component enrollments, authoritative prices and a batch choice for each required course. Until supported, remove the actionable bundle registration offer.","The published PKR 43,500 price reaches the challan; payment clearance lets Admissions place the learner in every component; completion is atomic or explicitly recoverable.","Product + admissions/backend","evidence/bundle-and-rules.json — BUNDLE-PRICE, BUNDLE-ENROLL; public/js/open.js:506-515,625-650; store.js:2355-2371; server.js:3930-3950"
