"Role","Preconditions","Intended/observed surface","Tested scope"
"Visitor","No session","Landing, catalogues/course details, open sections, login/signup/recovery, privacy, public verification, selected public talent/teaser routes","Public page survey and 39 detail links; database-dependent talent blocked."
"free","Free learner account","Open courses/compiler/events/profile; limited dashboard; cannot access enrolled batches","Free discovery, web preview, submit/retry/expiry and drafts tested."
"student","Paid/enrolled learner account","Dashboard, enrolled course/task, quizzes/progress/resources/chat/certificates, talent and hiring interest","Existing and empty accounts tested; PostgreSQL talent blocked."
"instructor","Assigned teacher","Assigned courses/students/resources/grades/quizzes/attendance, onboarding/contracts","Manual submission-grade-feedback flow works; scope defects in quiz/gems/certificates."
"coordinator","Read-oriented oversight","Cross-course users/students/enrollments/reports; chat participation currently accepted","Visible-role 403 dead ends and read-only documentation mismatch."
"admin","Administrator","Catalogue/batches/users/enrollments, events/reports/email, recruiters, moderation, finance and department management","20 nav views surveyed; selected safe local mutations; destructive bulk operations not tested."
"student_coordinator","Admissions Office","Registrations/challans, discounts/bank details, student queries/instructors/ambassador reports, enrollment after Finance","Normal local record pipeline partially verified; bundle and email-state failures."
"finance","Finance officer","Registration payment clearance, expenses, balance sheet, Settings","Local simulated payment clearance verified; reconciliation/real payments not tested."
"hr","HR officer","Staff/instructors/ambassadors, departments, onboarding/contracts, reports","Synthetic staff communication, department membership/task completion and offline contract rendering checked."
"staff","Staff/intern account with StaffRecord","Own staff instructions/follow-ups, department assignments, Settings","Instruction/reply and targeted department task completion persisted and readable by HR."
"ambassador","Active ambassador record","Referral code/QR, duties/referrals/leaderboards/reports and contract onboarding","Portal surveyed; local referral discount/enrollment/gem reward checked; cash payout/report-email not completed."
"recruiter","pending/needs_info/rejected/approved account; company and PostgreSQL for marketplace","Status and resubmission; after approval search/contact/shortlists","Local request-info/resubmit/approve pass; marketplace blocked without PostgreSQL."
