"Issue ID","Priority","Area","Exact failing step","Reproduction","Actual result","Expected after fix","Evidence"
"D-01","P0","Uploads / course resources / private documents","Download authorization","Assigned teacher uploads a synthetic private course PDF; a free learner not enrolled in that course requests the returned /uploads URL.","The free learner receives HTTP 200 and the exact private file bytes. The course API correctly returns 403 to the same learner.","An owner/assigned staff member can retrieve the attachment; unrelated free/student/recruiter accounts get 403/404 even with its exact URL; unauthenticated access stays denied.","evidence/api-checks.json — SEC-01-private-file; server.js:4219,4254"
"D-02","P1","Authentication / account recovery","Invalidate old sessions after recovery","Sign in as qa.free, retain that session, reset its password using the local reset token, and call /api/auth/me with the old cookie.","Reset succeeds, but the previously issued session still receives HTTP 200. Tokens last seven days and contain no password/session version.","After recovery, cookies created before the reset return 401; the new session and password work; reused reset tokens fail.","evidence/api-checks.json — SEC-05-reset-session; server.js:249-253,468-479"
"D-03","P2","Profile / Settings","Save an empty optional field","Edit City to QA Browser City, save, edit again, erase City, and save. Reopen profile and inspect the persisted local user record.","The UI says Profile saved, but QA Browser City remains. The API filters out blank values before updating the profile.","Clearing City, Goal and Links removes each stored value and keeps it empty after refresh and a new session; mandatory fields receive specific validation.","evidence/browser-workflows.json — PROFILE-UI-CLEAR; evidence/annotated-profile-clear.png; server.js:494-500"
"D-04","P2","Shared navigation / sign-in / dashboard","Return to the requested view","Open /showcase while signed out, complete the login form, then separately open Settings and refresh the dashboard.","Sign-in goes to /dashboard instead of Showcase. Refreshing Settings goes to Overview. Course/task selections share unchanged URLs, preventing reliable links.","A bookmarked course/task/settings route survives refresh; authentication returns there; Back/Forward retraces navigation; external return URLs are rejected.","evidence/browser-workflows.json — AUTH-RETURN, DASHBOARD-REFRESH; public/js/login.js:18-25; public/js/dashboard.js:118-150"
"D-05","P1","Free course and paid task workspaces","Recover the draft","Type code without submitting. Switch from task 1 to task 2 and back on the free course, or refresh a free/paid task.","Free task switching recreates an empty editor. Refresh returns free users to the catalogue and paid users to Overview. No draft warning was shown. Submitted paid code does reload when the task is reopened.","Desktop and 390px mobile drafts survive task switching, Back/Forward, refresh, session expiry and sign-in; another account never inherits them. An interrupted save has a visible recovery path.","evidence/browser-workflows.json — DRAFT-SWITCH/REFRESH; evidence/final-browser-checks.json — PAID-DRAFT-REFRESH; evidence/annotated-draft-loss-desktop.png; public/js/open.js:1361; public/js/dashboard.js:4853"
"D-06","P1","Certificates / teacher permissions","Validate recipient eligibility","An assigned teacher issues a course certificate using the ID of QA Empty Student, who has no enrollment in that batch.","HTTP 200 creates a certificate. The public verification page describes the nonmember as having completed the course and lists its concepts.","An instructor cannot issue a course certificate to a nonmember or ineligible learner. Valid graduates can be certified once, and verification reflects the recorded completion basis.","evidence/operations-initial.json — CERT-NONMEMBER; evidence/final-browser-checks.json — CERT-VERIFY-UI; evidence/certificate-verification.png; server.js:2778-2806"
"D-07","P1","Assignments / Talent Profile / Hiring Interest / teacher list","Replace loading with error/retry","Return a deliberate HTTP 503 for /api/my/quests and open Assignments. Also open student Talent Profile/Hiring Interest with PostgreSQL unavailable.","Assignments remains Loading. Talent Profile and Hiring Interest also remain Loading after real local 503 responses. The role survey captured unhandled errors.","A failed, aborted or timed-out request removes the loader, announces a useful error and exposes Retry; a successful retry restores the screen without a full reload.","evidence/browser-workflows.json — ERROR-ASSIGNMENTS; evidence/browser-survey.json — view-student-talent-profile, view-student-hiring-interest; evidence/annotated-loading-error.png; public/js/dashboard.js:1327,2816,3133"
"D-08","P1","Admissions / Finance handoff","Confirm email delivery handoff","Generate a synthetic challan with SMTP disabled, then use the challan send endpoint. Inspect its registration stage.","HTTP 200 advances the registration to challan_sent although the mail provider skips delivery. The route calls markSent without awaiting a delivery outcome.","Disabled SMTP, provider rejection and network failure cannot produce a Sent status. A test-provider acknowledgement advances the correct record exactly once.","evidence/operations-initial.json — ADMIT-SEND-FAILURE; server.js:3780-3797; mail-provider.js:77-80"
"D-09","P2","Public registration / Admissions","Retry/deduplicate registration","Submit the same name, email and course twice using the normal registration payload.","Both requests return 200 and two distinct registrations appear for the same learner/course. Newsletter and event duplication checks behave more safely.","Double-click, timeout/retry and resubmission create one active registration per learner/offering, while registration for another course remains allowed.","evidence/api-checks.json — ADMIT-01-duplicate; store.js:4023; server.js:3660"
"D-10","P2","Registration validation","Validate the selected offering","Submit a registration with course_code DOES-NOT-EXIST. Inspect the resulting record and its available batches.","The API reports success and stores a truncated code, DOES-NOT-EXI, which is not an offering. No valid enrollment route can be derived from it.","Unknown/missing/deactivated offerings return a field-level 400 and create no record; valid courses and modeled bundles use authoritative identifiers.","evidence/api-checks.json — ADMIT-02-invalid-course; evidence/persisted-record-summary.json; server.js:3660-3684; store.js:4023"
"D-11","P1","Gems / teacher permissions","Check award recipient membership","Assigned teacher awards 25 gems to QA Empty Student, who is not enrolled in the teacher’s batch.","HTTP 200 persists the award for the nonmember and changes their gem total. Validation checks student role but not enrollment.","A teacher’s course award to a nonmember fails and changes no totals; valid awards are persisted and auditable.","evidence/api-checks.json — SEC-03-gems-nonmember; server.js:1590-1598"
"D-12","P1","Quiz creation / teacher permissions","Bind creation to authorized resource","As a teacher of batch 1, POST to /api/batches/1/quizzes with body batch_id:2, where batch 2 has no assigned teacher.","The server authorizes batch 1 but creates the quiz in batch 2 and returns HTTP 200. req.body overwrites batch_id during object spread.","A conflicting body ID is rejected or ignored; every created quiz belongs to the URL batch that passed authorization; unauthorized batches are unchanged.","evidence/supplemental-checks.json — SEC-QUIZ-SCOPE; server.js:2554-2557"
"D-13","P2","Course discovery / filters","Change catalogue mode","Open /open#free, then select Live Tech Courses in the main navigation.","The active navigation changes to Live, but cFree remains free and only free language families appear.","Switching between Free and Live consistently shows the advertised offerings; search and tier filters combine predictably and clearing filters restores results.","evidence/final-browser-checks.json — FILTER-LIVE-AFTER-FREE; evidence/live-nav-free-filter.png; public/js/open.js:119-125"
"D-14","P2","Coordinator / teacher list / reports","Render authorized actions and recover denied sections","Sign in as coordinator and navigate to Teachers and Reports. Use the visible lead-related affordances.","The survey recorded 403 for /api/instructors-lite and /api/admin/leads; Teachers retains a Loading section and Reports exposes an Admin access only result. Coordinator can also write chat despite read-only documentation.","Every visible coordinator action has an allowed, scoped endpoint; unavailable actions are omitted/explained; any read-only exception is documented and tested.","evidence/browser-survey.json — role-errors-coordinator, view-coordinator-admin-teachers, view-coordinator-admin-analytics; evidence/api-checks.json — SEC-04-coordinator-write"
