"course_code","course","track","module","lesson","lesson_title","assignment_id","assignment","required","pass_threshold","language","original_video","current_resource","resource_type","timestamp_seconds","availability","standard_embed","standard_playback","app_playback","resource_title","author","relevance_scope","full_content_coverage","required_next_check","assignment_references"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","1","1","The C Compilation Lifecycle","1","Airport Gate Terminal Initialization","true","60","c","https://www.youtube.com/watch?v=KnvbUiSxvbM","https://www.youtube.com/watch?v=KnvbUiSxvbM","video","0","AVAILABLE","PLAYER_LOADED","PLAYED","PLAYED","#1: Getting Started with C Programming [2025] | C Programming for Beginners","Programiz","Provider title/topic screened; full explanation/example/assignment coverage UNVERIFIED because no usable transcript was returned. Inspect segment and solve the assignment.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","1","2","Anatomy of main() and Program Entry","1","Server Handshake Status","true","60","c","https://www.youtube.com/watch?v=h4VBpylsjJc","https://www.youtube.com/watch?v=h4VBpylsjJc","video","0","AVAILABLE","PLAYER_LOADED","UNVERIFIED","PLAYED","#2: C Variables and Print Output | [2025] C Programming for Beginners","Programiz","Variables/output recording; program-entry anatomy needs inspected coverage.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","1","3","Standard Output & Escape Sequences","1","Cafe POS Itemized Receipt","true","60","c","https://www.youtube.com/watch?v=h4VBpylsjJc","https://www.youtube.com/watch?v=h4VBpylsjJc","video","0","AVAILABLE","PLAYER_LOADED","UNVERIFIED","PLAYED","#2: C Variables and Print Output | [2025] C Programming for Beginners","Programiz","Output chapter exists; confirm explicit escape-sequence examples.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","2","4","Primitive Data Types & Memory Footprint","1","Patient Intake Triage Card","true","60","c","https://www.youtube.com/watch?v=sARaqR0hRI4","https://www.youtube.com/watch?v=sARaqR0hRI4","video","0","AVAILABLE","PLAYER_LOADED","PLAYED","UNVERIFIED","#3: Data Types in C Programming | [2025] C Programming for Beginners","Programiz","Provider title/topic screened; full explanation/example/assignment coverage UNVERIFIED because no usable transcript was returned. Inspect segment and solve the assignment.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","2","5","Variable Declaration, Initialization & Constants","1","Fixed Toll Plaza Billing","true","60","c","https://www.youtube.com/watch?v=aIQk1O08zpg","https://www.youtube.com/watch?v=aIQk1O08zpg","video","0","AVAILABLE","PLAYER_LOADED","PLAYED","UNVERIFIED","C variables 💰","Bro Code","Provider title/topic screened; full explanation/example/assignment coverage UNVERIFIED because no usable transcript was returned. Inspect segment and solve the assignment.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","2","6","Format Specifiers","1","Precision Currency Formatter","true","60","c","https://www.youtube.com/watch?v=iLZOL-hmr7M","https://www.youtube.com/watch?v=iLZOL-hmr7M","video","0","AVAILABLE","PLAYER_LOADED","UNVERIFIED","UNVERIFIED","C format specifiers 🔧","Bro Code","Provider title/topic screened; full explanation/example/assignment coverage UNVERIFIED because no usable transcript was returned. Inspect segment and solve the assignment.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","2","7","Interactive Input with scanf()","1","ATM Cash Withdrawal Prompt","true","60","c","https://www.youtube.com/watch?v=17gp5DJEyiw","https://www.youtube.com/watch?v=17gp5DJEyiw","video","0","AVAILABLE","PLAYER_LOADED","PLAYED","PLAYED","#4: Get User Input in C Programming","Programiz","Provider title/topic screened; full explanation/example/assignment coverage UNVERIFIED because no usable transcript was returned. Inspect segment and solve the assignment.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","3","8","Arithmetic & Modulo Operations","1","Warehouse Cargo Box Packer","true","60","c","https://www.youtube.com/watch?v=_57FcSBtJNU","https://www.youtube.com/watch?v=_57FcSBtJNU","video","0","AVAILABLE","PLAYER_LOADED","PLAYED","PLAYED","#6: C Operators | [2025] C Programming for Beginners","Programiz","Provider title/topic screened; full explanation/example/assignment coverage UNVERIFIED because no usable transcript was returned. Inspect segment and solve the assignment.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","3","9","Relational & Logical Decisions","1","Theme Park Ride Safety Gate","true","60","c","https://www.youtube.com/watch?v=xyQrVEFz9kw","https://www.youtube.com/watch?v=xyQrVEFz9kw","video","0","AVAILABLE","PLAYER_LOADED","PLAYED","PLAYED","C if statements ✔️","Bro Code","Provider title/topic screened; full explanation/example/assignment coverage UNVERIFIED because no usable transcript was returned. Inspect segment and solve the assignment.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","3","10","Branching with if, else if, and else","1","Smart Thermostat Temperature Alert","true","60","c","https://www.youtube.com/watch?v=iD05HmGLZXc","https://www.youtube.com/watch?v=iD05HmGLZXc","video","0","AVAILABLE","PLAYER_LOADED","PLAYED","PLAYED","If Statement Best Practice | C Programming Tutorial","Portfolio Courses","Provider title/topic screened; full explanation/example/assignment coverage UNVERIFIED because no usable transcript was returned. Inspect segment and solve the assignment.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","4","11","Counter-Controlled for Loops","1","Rocket Launch Countdown","true","60","c","https://www.youtube.com/watch?v=b4DPj0XAfSg","https://www.youtube.com/watch?v=b4DPj0XAfSg","video","0","AVAILABLE","PLAYER_LOADED","PLAYED","PLAYED","C for loops in 3 minutes! 🔁","Bro Code","Provider title/topic screened; full explanation/example/assignment coverage UNVERIFIED because no usable transcript was returned. Inspect segment and solve the assignment.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","4","12","Condition-Driven while Loops","1","EV Fast-Charging Battery Monitor","true","60","c","https://www.youtube.com/watch?v=qUPXsPtWGoY","https://www.youtube.com/watch?v=qUPXsPtWGoY","video","0","AVAILABLE","PLAYER_LOADED","PLAYED","PLAYED","for and while Loops","Neso Academy","Provider title/topic screened; full explanation/example/assignment coverage UNVERIFIED because no usable transcript was returned. Inspect segment and solve the assignment.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
"FC-01","CS-101: Fundamentals of C","fc01-c-basics","4","13","Loop Controls (break & continue)","1","Inventory Defect Scanner","true","60","c","https://www.youtube.com/watch?v=qUPXsPtWGoY","https://www.youtube.com/watch?v=qUPXsPtWGoY","video","0","AVAILABLE","PLAYER_LOADED","PLAYED","PLAYED","for and while Loops","Neso Academy","Basic loop recording; inspect break/continue coverage needed for defect scanner.","UNVERIFIED","Instructor inspects segment/captions, checks prerequisites and runner, and solves assessment from declared lesson material.","[]"
